id,gender,age,recency,frequency,amount,tau,treatment_rate,treatment,y0,y1,outcome
56,m,35,5,5,11206,1837,0.1352737747303562,0,11206,13043,11436
57,f,38,13,4,10744,1830,0.06271458486906274,1,10744,12574,12785
58,m,34,10,6,13853,860,0.12137743601782452,0,13853,14713,13882
59,f,26,3,10,13936,506,0.3899018302707975,1,13936,14442,14822
60,f,28,9,10,15679,241,0.1404673602081168,1,15679,15920,15745
61,f,36,16,4,9456,1958,0.07332248474947359,0,9456,11414,9424
62,m,39,0,3,9759,1807,0.050281041708575155,0,9759,11566,9838
63,f,41,14,3,10206,1596,0.0,0,10206,11802,10421
64,f,22,0,6,12518,491,0.674859998576308,1,12518,13009,12685
65,m,32,9,5,12351,1381,0.2375366738831629,0,12351,13732,12007
66,m,22,9,6,12704,465,0.6537785875929082,1,12704,13169,13354
67,f,29,7,11,15076,376,0.17710278888837244,0,15076,15452,14648
68,f,27,10,2,8229,1138,0.3226382099428601,0,8229,9367,8298
69,f,30,20,2,9541,1696,0.2681074722891876,0,9541,11237,9737
70,m,39,8,7,13086,1056,0.013305676947405157,0,13086,14142,12623
71,m,21,11,4,9202,577,0.6080468720676919,1,9202,9779,9485
72,m,50,10,2,7749,379,0.032331214662708,0,7749,8128,7889
73,f,42,10,7,12424,1058,0.0299026754036973,0,12424,13482,12465
74,m,18,8,10,14643,99,0.383229015833798,0,14643,14742,15449
75,m,33,3,9,14539,612,0.1191365433111285,0,14539,15151,14690
76,m,18,8,5,11576,291,0.7034647528236366,1,11576,11867,12142
77,f,33,21,6,12100,1516,0.20399640955209117,0,12100,13616,12590
78,f,18,16,5,11098,313,0.7345455458121827,1,11098,11411,10761
79,m,41,7,5,12387,1157,0.03335477384196703,0,12387,13544,12268
80,m,42,20,4,10714,1433,0.033790978468536174,0,10714,12147,11250
81,m,25,0,7,13266,590,0.515855224312157,1,13266,13856,14558
82,f,32,11,10,14356,650,0.17008716633710702,0,14356,15006,14612
83,m,18,0,7,12061,263,0.6798828583380868,1,12061,12324,11408
84,f,24,19,10,14263,340,0.4231123987528833,1,14263,14603,14643
85,m,28,5,4,9664,1470,0.3902585355772282,0,9664,11134,10165
86,m,18,15,5,11393,300,0.7264361075641479,1,11393,11693,11611
87,m,46,16,4,10513,932,0.0,0,10513,11445,10529
88,f,31,16,4,10865,1733,0.25560466463188636,0,10865,12598,10324
89,f,42,9,4,11425,1314,0.0,0,11425,12739,11443
90,m,28,0,5,11969,1184,0.44815681318984224,1,11969,13153,13163
91,m,23,11,6,12652,551,0.6479431693158392,0,12652,13203,11988
92,m,31,8,4,10765,1749,0.2781080571097726,1,10765,12514,12987
93,m,39,9,5,11443,1606,0.035626935554736706,0,11443,13049,10732
94,f,23,6,3,9469,810,0.5672882233025186,1,9469,10279,9704
95,m,32,4,4,9365,1853,0.19748554225914655,0,9365,11218,9498
96,m,24,3,6,10810,911,0.6496998308809354,1,10810,11721,11828
97,f,18,12,4,8938,316,0.5645755814017105,1,8938,9254,8475
98,m,26,8,3,8811,1125,0.4051692621283245,1,8811,9936,9644
99,m,31,5,3,10276,1802,0.2964575678290322,1,10276,12078,12407
100,m,30,4,3,9067,1637,0.25539380537037215,1,9067,10704,10656
101,m,27,6,5,11182,1241,0.5261664693198762,1,11182,12423,12318
102,f,31,0,7,14283,644,0.19074993575380353,0,14283,14927,14435
103,f,23,9,4,10158,820,0.6756177690891795,1,10158,10978,10842
104,m,35,8,7,13879,856,0.07792901359182836,0,13879,14735,14134
105,m,25,1,4,9755,1076,0.5568904258329854,1,9755,10831,10408
106,m,38,11,7,13067,1110,0.04999857223305163,0,13067,14177,14227
107,m,18,7,9,12773,217,0.6245677486209225,1,12773,12990,13279
108,f,31,13,6,12122,1401,0.28624028623510633,0,12122,13523,12808
109,m,35,18,9,15211,435,0.05287463636832962,0,15211,15646,14924
110,f,42,7,4,9437,1454,0.004147269775553802,0,9437,10891,9152
111,m,24,18,6,12503,663,0.6023388568363525,0,12503,13166,11850
112,f,41,9,6,12785,1031,0.012102995324376744,0,12785,13816,12669
113,f,34,14,3,9462,1959,0.13691089209797289,0,9462,11421,9706
114,m,47,14,1,6110,359,0.0,0,6110,6469,5734
115,f,18,3,5,11020,316,0.7241388615926672,1,11020,11336,11221
116,f,32,11,6,11981,1511,0.2369859649816313,1,11981,13492,13706
117,f,29,12,8,13890,682,0.25405104281603663,0,13890,14572,13667
118,m,31,15,8,13773,811,0.2054978977765346,0,13773,14584,14086
119,f,38,10,5,13261,1036,0.04101180016639155,0,13261,14297,13084
120,m,44,10,8,13655,570,0.006095049205386961,0,13655,14225,13906
121,f,33,4,4,9990,1951,0.18352580489836715,0,9990,11941,9139
122,f,18,12,6,11863,275,0.6694625249326952,1,11863,12138,12527
123,f,26,3,3,9907,1212,0.4956110065735634,0,9907,11119,10247
124,f,61,10,7,13689,14,0.06600107615469264,0,13689,13703,13538
125,f,20,11,8,13931,208,0.5300100244542624,0,13931,14139,13687
126,m,31,19,2,9124,1741,0.23793675867070296,0,9124,10865,9847
127,f,37,0,4,12300,1443,0.04205381990975808,0,12300,13743,12694
128,f,40,16,8,12829,1088,0.013854802744774158,0,12829,13917,12494
129,m,24,18,10,14031,379,0.4070767974856717,1,14031,14410,14505
130,m,44,10,5,10963,1148,0.021284509822448016,0,10963,12111,10637
131,m,42,14,6,12215,1117,0.0,0,12215,13332,12191
132,f,34,8,2,7645,1471,0.04275587156857187,0,7645,9116,7294
133,f,20,2,3,9914,498,0.6768459352193836,1,9914,10412,9990
134,f,24,18,5,11165,875,0.6333618501993258,1,11165,12040,12637
135,m,23,11,6,10729,796,0.6622615640013645,1,10729,11525,11007
136,f,27,13,2,7731,1019,0.25775343455343713,0,7731,8750,7303
137,m,43,0,7,13525,667,0.03809740095184718,0,13525,14192,14034
138,f,32,11,5,12465,1339,0.24430290397623805,0,12465,13804,12545
139,f,36,3,6,14341,688,0.04937213944726286,0,14341,15029,14968
140,m,31,20,6,15049,432,0.09152861810305132,0,15049,15481,15535
141,m,45,13,10,15395,210,0.020220790092539805,0,15395,15605,15230
142,f,18,14,3,8299,287,0.44626504984908044,0,8299,8586,8116
143,f,18,1,2,6159,149,0.16405680643766454,1,6159,6308,6434
144,f,29,15,6,12596,1092,0.34793841716603374,0,12596,13688,12807
145,m,29,11,4,10050,1600,0.35406505185999715,0,10050,11650,10287
146,m,29,16,5,11234,1465,0.4192692183617896,0,11234,12699,11053
147,m,22,15,6,11439,625,0.7239421792961415,0,11439,12064,11095
148,m,18,20,9,13501,168,0.563077497378238,1,13501,13669,14188
149,f,28,9,5,12526,1028,0.4044760460696585,0,12526,13554,12154
150,m,26,15,7,13048,716,0.45915373567872064,0,13048,13764,12849
151,f,32,10,7,13001,1136,0.20866221971431298,0,13001,14137,12735
152,f,36,3,9,13539,979,0.07050091494377808,0,13539,14518,12803
153,m,41,12,6,11064,1498,0.0,0,11064,12562,11244
154,m,38,4,7,12814,1207,0.040383452261759656,0,12814,14021,12395
155,f,29,12,6,12307,1182,0.3847779249671417,0,12307,13489,12306
156,m,34,6,5,13352,1053,0.15186643193014543,0,13352,14405,12729
157,m,18,8,4,10245,334,0.6986956372447256,0,10245,10579,9372
158,f,21,4,3,10296,592,0.7159655844589,1,10296,10888,11567
159,m,47,20,3,9524,813,0.021123111266657252,0,9524,10337,10476
160,f,40,5,7,12194,1302,0.021467626730511953,0,12194,13496,11628
161,f,18,9,5,10086,335,0.6613114934966136,0,10086,10421,10185
162,m,23,8,4,9826,821,0.6423144931669269,0,9826,10647,9583
163,m,48,10,4,12800,451,0.03144370327246906,0,12800,13251,12981
164,m,22,4,7,11937,568,0.697851773818536,1,11937,12505,12255
165,f,18,9,6,12457,238,0.6773349583720962,1,12457,12695,13220
166,m,24,11,7,11986,756,0.6549439648147657,1,11986,12742,12133
167,m,25,11,6,13006,646,0.4931233547662982,1,13006,13652,13148
168,f,41,18,5,12170,1224,0.03789787999815172,0,12170,13394,11718
169,m,38,14,5,11678,1609,0.09315447853692456,0,11678,13287,11803
170,f,25,21,7,12818,687,0.587231380572316,1,12818,13505,13999
171,f,29,10,4,10193,1597,0.3728830368230227,0,10193,11790,10084
172,m,33,10,8,14212,718,0.13135285753349807,0,14212,14930,14089
173,f,37,4,4,10574,1912,0.07827463338652249,0,10574,12486,10846
174,m,26,7,3,8606,1093,0.4032073701877822,0,8606,9699,8330
175,m,33,11,6,11335,1759,0.17025879830245103,1,11335,13094,12906
176,m,44,9,5,11952,975,0.0,0,11952,12927,11807
177,f,29,19,6,13776,716,0.2580148437179052,1,13776,14492,14902
178,f,31,10,3,10060,1811,0.2871845640306586,1,10060,11871,10243
179,f,36,4,5,11690,1686,0.11957136096117583,0,11690,13376,11690
180,m,24,3,3,9858,946,0.5852702391201867,1,9858,10804,10681
181,f,21,22,5,12351,435,0.6704643893893805,1,12351,12786,12763
182,m,34,13,3,10194,1982,0.1288583750497871,1,10194,12176,12216
183,f,36,5,7,12861,1249,0.07938677947864305,0,12861,14110,12426
184,m,29,21,8,14677,467,0.21203518638192342,0,14677,15144,13974
185,m,24,8,6,12498,664,0.6097511719371667,1,12498,13162,13366
186,m,25,0,4,11977,862,0.6286412213926652,1,11977,12839,12635
187,m,33,4,5,11903,1585,0.1950560150493485,0,11903,13488,11363
188,m,18,9,5,9853,335,0.6378685519367008,1,9853,10188,10507
189,m,40,8,5,10595,1677,0.034097642362091014,0,10595,12272,10233
190,f,46,12,4,12421,678,0.0285497146430893,0,12421,13099,12806
191,f,18,22,4,11679,285,0.7446174036343187,1,11679,11964,12204
192,f,36,8,2,8758,1831,0.11522853681391518,1,8758,10589,11405
193,m,38,10,8,13547,929,0.08188231063448728,0,13547,14476,14321
194,m,39,6,9,15813,272,0.0,0,15813,16085,15153
195,m,18,11,3,8194,281,0.48983728491082773,0,8194,8475,8254
196,f,27,25,7,12150,1034,0.48753340807484663,0,12150,13184,13041
197,f,24,2,5,11944,763,0.6359969169113309,0,11944,12707,12268
198,m,28,0,6,11959,1186,0.4344922993864626,1,11959,13145,12910
199,m,18,3,7,12383,243,0.6606596814250799,1,12383,12626,12344
200,m,47,2,3,9826,821,0.0,0,9826,10647,9798
201,f,34,11,8,14138,757,0.09812738163199639,0,14138,14895,14269
202,f,20,17,3,10609,487,0.748313181102576,1,10609,11096,11795
203,f,24,11,5,11447,839,0.6588838324722197,1,11447,12286,12670
204,f,44,14,7,13811,534,0.027841624096117516,0,13811,14345,14126
205,m,29,11,3,7999,1290,0.24779632081564631,0,7999,9289,8727
206,m,43,8,2,8889,1262,0.03574847432938252,0,8889,10151,9172
207,m,37,11,5,11051,1828,0.0932002551990942,1,11051,12879,13282
208,f,18,2,5,9858,335,0.659383317531956,0,9858,10193,9871
209,f,20,24,5,10316,495,0.725038816936247,1,10316,10811,11055
210,m,18,9,4,9827,335,0.6891694067025472,1,9827,10162,10189
211,m,35,7,2,9728,1993,0.14206236191074245,0,9728,11721,10557
212,m,49,5,8,12559,411,0.013960113496156576,0,12559,12970,13714
213,m,32,10,3,9974,1891,0.26238235184232966,1,9974,11865,11352
214,m,29,12,11,14954,403,0.21139677428913706,1,14954,15357,15889
215,f,35,11,7,12920,1233,0.15842718777062675,1,12920,14153,13426
216,m,29,10,6,13257,879,0.32778225940941635,1,13257,14136,14391
217,f,27,6,9,14679,393,0.2794871233985507,1,14679,15072,15329
218,m,32,11,9,15588,327,0.10295797551453688,0,15588,15915,15038
219,m,38,22,6,12427,1353,0.05148465526882316,0,12427,13780,12510
220,f,25,8,5,10795,1038,0.6058275538323092,1,10795,11833,11280
221,m,20,17,6,11652,426,0.7263460716640062,1,11652,12078,11695
222,f,39,8,5,12042,1427,0.0,0,12042,13469,12858
223,f,18,10,9,13787,149,0.5280987860753595,0,13787,13936,14127
224,m,18,16,5,9979,335,0.6474054871120958,1,9979,10314,9834
225,f,30,0,4,10901,1633,0.36060382770686,0,10901,12534,11661
226,m,39,14,5,12029,1432,0.03432965828520901,0,12029,13461,12827
227,m,32,5,5,13977,775,0.13969040123458965,1,13977,14752,15168
228,f,24,10,5,13054,558,0.5640243337636226,0,13054,13612,12655
229,m,38,12,4,10224,1885,0.04606591718030411,0,10224,12109,10355
230,f,22,18,4,10157,703,0.6704905464980788,0,10157,10860,10431
231,m,37,11,5,10493,1921,0.04576190589735628,0,10493,12414,10630
232,f,25,12,4,10063,1078,0.5669779267827942,0,10063,11141,10704
233,m,18,4,4,10412,332,0.695929520359338,1,10412,10744,10106
234,m,37,3,4,12068,1528,0.06279405462922279,0,12068,13596,12617
235,f,46,11,3,9341,926,0.0,0,9341,10267,8648
236,f,26,13,6,11631,1040,0.5393321859341049,1,11631,12671,12338
237,f,40,17,5,9893,1713,0.02159917492940089,0,9893,11606,9873
238,m,18,12,6,11556,292,0.7169199966753818,1,11556,11848,13056
239,f,18,6,5,9999,335,0.6533100208664133,0,9999,10334,9867
240,m,20,11,9,13304,269,0.5827324758505894,1,13304,13573,13211
241,m,28,7,4,9951,1477,0.4162033880481296,0,9951,11428,9810
242,m,35,4,4,10870,1912,0.13809710388885602,0,10870,12782,10346
243,m,18,6,3,7608,246,0.32127851003315433,0,7608,7854,6931
244,m,20,2,1,5460,161,0.09102094643000744,0,5460,5621,5708
245,f,38,4,7,15168,421,0.008797523410793602,0,15168,15589,15074
246,m,21,1,6,10764,575,0.7511138774070419,1,10764,11339,11609
247,m,44,15,9,13484,611,0.019365684545746435,0,13484,14095,13336
248,f,22,2,4,12069,551,0.7363943991475597,0,12069,12620,12206
249,m,41,6,5,14439,528,0.011754728127324034,0,14439,14967,13984
250,m,38,6,0,2938,121,0.0,0,2938,3059,2982
251,m,30,13,4,10489,1688,0.32755912154337957,1,10489,12177,11712
252,m,32,11,3,10253,1883,0.21755518500531096,0,10253,12136,10274
253,f,31,11,4,12410,1301,0.2515615934666212,1,12410,13711,12958
254,m,41,0,3,9172,1545,0.0006753701781976144,0,9172,10717,10054
255,m,18,11,3,8969,317,0.5208900966856344,1,8969,9286,9550
256,m,26,7,5,12173,926,0.550753249129183,0,12173,13099,12060
257,m,32,4,8,14175,708,0.1329944046686172,0,14175,14883,14002
258,m,42,8,6,12227,1113,0.0032697602196675463,0,12227,13340,11937
259,m,24,6,3,9481,935,0.5396299558241772,0,9481,10416,9344
260,m,18,0,3,7953,267,0.38960408928321977,0,7953,8220,8147
261,f,18,13,2,7864,262,0.3757193362150365,1,7864,8126,7058
262,m,30,1,6,12153,1315,0.3302332156141271,0,12153,13468,12467
263,m,18,19,6,11911,272,0.6941676349455307,1,11911,12183,10445
264,f,27,0,2,8145,1119,0.3139615603860323,1,8145,9264,8860
265,m,18,15,6,12126,259,0.6587800918841962,0,12126,12385,12704
266,m,26,9,2,9507,1198,0.4861386344115818,1,9507,10705,11675
267,f,49,20,6,12567,410,0.01795902165702416,0,12567,12977,12150
268,m,42,0,8,14209,544,0.013624487818399568,0,14209,14753,14239
269,f,30,17,5,11694,1453,0.3741666768133508,1,11694,13147,13625
270,f,27,16,5,11522,1178,0.49783430542937357,1,11522,12700,11879
271,m,21,9,1,6201,270,0.1992366664161895,0,6201,6471,5152
272,m,35,17,6,12813,1276,0.09854489494523104,0,12813,14089,11907
273,m,26,4,5,11385,1085,0.5578023561448485,1,11385,12470,12628
274,m,43,13,2,10817,1294,0.028884094146384782,0,10817,12111,11460
275,m,31,6,7,14530,571,0.17122936074246037,0,14530,15101,14540
276,f,31,9,1,7701,1360,0.13087545659142222,0,7701,9061,7387
277,m,18,14,4,9441,330,0.5740504095820562,0,9441,9771,9632
278,f,24,8,4,9538,937,0.5778719107975354,0,9538,10475,9343
279,m,48,6,6,13530,348,0.022239309384562488,0,13530,13878,12563
280,f,18,8,3,9426,330,0.5891975222859368,1,9426,9756,9029
281,m,27,8,10,15195,295,0.2225511904496888,1,15195,15490,15121
282,m,27,10,3,8187,1128,0.2812979741773489,1,8187,9315,9612
283,m,32,13,7,13979,775,0.1905929941951521,0,13979,14754,13533
284,m,33,11,9,14820,528,0.09895408427872159,0,14820,15348,14719
285,f,24,15,8,12439,675,0.613508687605577,1,12439,13114,12687
286,f,38,10,4,10568,1854,0.06699914725479492,0,10568,12422,10011
287,m,23,0,8,13616,393,0.5276464703114923,1,13616,14009,13359
288,m,35,9,7,13262,1095,0.09602845585935438,1,13262,14357,14960
289,f,18,15,4,9865,335,0.6461016416981148,0,9865,10200,8740
290,m,22,22,5,11150,652,0.7412120688625529,1,11150,11802,12292
291,f,18,0,0,2901,20,0.017668116635137975,0,2901,2921,3147
292,m,32,9,2,8971,1789,0.15993350306133922,0,8971,10760,9054
293,m,33,14,1,8735,1792,0.1186443820656959,0,8735,10527,9125
294,m,25,8,5,9111,1035,0.47670400149723224,0,9111,10146,7925
295,m,32,1,6,12245,1419,0.23828530432886758,0,12245,13664,12675
296,f,18,8,7,12547,232,0.6751763263719184,0,12547,12779,11703
297,m,42,11,5,12085,1153,0.025495430088994367,0,12085,13238,12723
298,f,38,13,6,12231,1424,0.09976317031381246,0,12231,13655,12474
299,m,20,0,2,6648,270,0.2103748954648385,0,6648,6918,6815
300,f,18,14,5,11250,306,0.7388814951350117,1,11250,11556,10565
301,f,25,14,3,11212,990,0.6117610816612623,0,11212,12202,11082
302,m,32,10,8,12404,1361,0.23806830176471963,1,12404,13765,12926
303,f,31,5,5,12457,1285,0.2639347910361641,0,12457,13742,12697
304,m,19,19,5,10736,398,0.7278993914651348,1,10736,11134,11970
305,m,25,8,1,7040,669,0.22192679810684066,0,7040,7709,7554
306,m,33,11,4,9963,1951,0.16881183650102496,0,9963,11914,9857
307,m,25,12,9,13794,478,0.46361281549470457,0,13794,14272,12794
308,m,30,14,2,9939,1713,0.31359288053814216,1,9939,11652,11518
309,m,39,10,5,12348,1323,0.039960962471150746,0,12348,13671,12138
310,f,23,11,3,11100,766,0.7057788515220705,1,11100,11866,12377
311,f,38,10,3,11114,1759,0.06557514047424223,0,11114,12873,11070
312,f,29,2,6,12750,1042,0.36843102247595994,1,12750,13792,13867
313,f,28,1,3,11372,1325,0.45769773383412393,1,11372,12697,12545
314,f,18,15,6,12097,261,0.6926482261889961,1,12097,12358,11761
315,f,37,10,4,11728,1643,0.0515758407727772,1,11728,13371,13888
316,m,49,10,9,14087,232,0.011679048110781538,0,14087,14319,13407
317,f,19,16,2,8215,347,0.4551405083951853,1,8215,8562,8173
318,m,20,9,5,10478,491,0.7584844587091915,1,10478,10969,11350
319,m,45,15,5,12672,719,0.0,0,12672,13391,12636
320,m,36,4,5,10737,1923,0.09483474559393798,0,10737,12660,10721
321,m,23,21,7,13443,420,0.5584461734212246,0,13443,13863,13164
322,m,47,24,5,11566,713,0.0,0,11566,12279,11730
323,f,25,16,8,14548,336,0.3562102954959016,1,14548,14884,15319
324,m,30,18,4,11496,1506,0.3405101832065966,0,11496,13002,11121
325,m,33,10,5,13377,1024,0.16798363492523694,0,13377,14401,14491
326,f,38,17,7,13910,799,0.026666535225827216,0,13910,14709,14630
327,f,34,8,3,8582,1785,0.10415294147656212,0,8582,10367,8035
328,f,51,18,4,10722,399,0.0,0,10722,11121,10782
329,m,44,1,9,13416,627,0.046470770798490525,0,13416,14043,13589
330,m,46,4,6,12042,746,0.033694380183115186,0,12042,12788,11554
331,f,23,18,4,11839,677,0.6851703895917958,1,11839,12516,11796
332,m,33,7,3,10547,1915,0.19835242822081078,0,10547,12462,10836
333,m,47,11,5,11109,765,0.013517032542647286,0,11109,11874,11631
334,m,26,0,4,9735,1209,0.49657004454936493,1,9735,10944,10842
335,f,26,12,5,11503,1064,0.5516087093884553,1,11503,12567,13162
336,m,39,4,4,9903,1811,0.05820425322681168,0,9903,11714,9707
337,f,35,5,6,11924,1618,0.13239716670101614,0,11924,13542,10902
338,f,30,6,5,11927,1385,0.34355214672508777,1,11927,13312,12490
339,f,33,6,8,14851,519,0.10773843407475413,0,14851,15370,14307
340,m,18,10,4,10676,326,0.7272004475830307,0,10676,11002,11259
341,m,27,9,2,6583,712,0.12091650439279703,0,6583,7295,7214
342,f,22,2,4,10690,684,0.694865394334123,1,10690,11374,12151
343,f,46,14,1,7500,675,0.011722531496242965,0,7500,8175,7971
344,m,28,6,4,11113,1374,0.4461690819914532,0,11113,12487,11067
345,m,31,11,4,12309,1337,0.2848623836192476,0,12309,13646,12849
346,f,41,18,6,10714,1553,0.029494802964708203,0,10714,12267,10744
347,f,46,5,7,12663,633,0.0,0,12663,13296,12992
348,m,33,15,2,9393,1915,0.14923972239844896,0,9393,11308,9737
349,m,21,6,6,10500,587,0.7372487531802698,0,10500,11087,11696
350,m,25,14,4,11923,872,0.5790500778973094,1,11923,12795,12423
351,m,33,2,4,11243,1783,0.17827123623396993,0,11243,13026,11567
352,m,33,12,2,9623,1938,0.1638610426175841,0,9623,11561,9511
353,f,22,1,4,9902,704,0.6438525786994429,0,9902,10606,9256
354,m,18,7,7,13120,193,0.607647332319702,0,13120,13313,13023
355,m,18,5,1,7590,245,0.33675858058616226,0,7590,7835,8117
356,m,18,12,5,11165,310,0.7213638924404099,1,11165,11475,11344
357,m,28,10,4,10951,1401,0.44812239065363657,1,10951,12352,12872
358,f,27,11,5,11765,1126,0.5108948739328055,0,11765,12891,11515
359,m,18,13,7,11611,289,0.7005914835693927,1,11611,11900,12942
360,m,28,9,5,11434,1312,0.44432176871010326,1,11434,12746,13772
361,m,47,19,7,13034,488,0.0,0,13034,13522,13854
362,m,34,3,6,12853,1252,0.15943943205996577,0,12853,14105,12592
363,f,50,8,4,11720,420,0.015655872161871087,0,11720,12140,11642
364,m,30,11,7,12127,1323,0.28904940593694545,1,12127,13450,14053
365,m,30,13,4,10707,1663,0.3771056987676071,1,10707,12370,12237
366,f,33,12,7,14504,623,0.08354509957111891,0,14504,15127,13762
367,m,48,9,5,11042,661,0.021635337142868485,0,11042,11703,11280
368,m,46,10,2,8144,787,0.011206579035584438,0,8144,8931,9263
369,m,38,11,3,10236,1884,0.02514468334454456,0,10236,12120,11689
370,m,34,12,4,11695,1685,0.11667601249950653,0,11695,13380,12327
371,f,21,10,7,12620,403,0.6718048600037492,1,12620,13023,12036
372,f,18,10,6,12898,208,0.6348600304732941,0,12898,13106,13335
373,m,26,7,7,13678,565,0.38963435844395256,0,13678,14243,14329
374,m,45,13,2,9662,1073,0.01591010223679815,0,9662,10735,10948
375,m,48,15,5,12210,533,0.015564123154219837,0,12210,12743,12148
376,f,18,1,5,13050,198,0.6421535976716238,0,13050,13248,12854
377,m,43,16,5,11625,1157,0.024950346860390278,0,11625,12782,11025
378,m,48,11,2,7031,435,0.03760091160561649,0,7031,7466,5910
379,f,42,10,1,8936,1392,0.00658896586342868,0,8936,10328,8505
380,f,25,16,3,9245,1047,0.5058167976149773,0,9245,10292,9704
381,f,38,17,6,12663,1264,0.07267847434090266,0,12663,13927,13312
382,f,18,7,4,11307,304,0.7169018629596895,1,11307,11611,11565
383,m,18,17,3,7748,255,0.3720783677931561,0,7748,8003,8170
384,m,55,11,5,10295,168,0.0,0,10295,10463,10724
385,m,25,4,5,9980,1078,0.5564088464501628,0,9980,11058,10663
386,m,19,6,1,5991,170,0.17803327171542374,0,5991,6161,5569
387,m,26,15,0,4043,172,0.04377786321958301,0,4043,4215,4404
388,f,49,10,4,11326,538,0.0,0,11326,11864,11465
389,f,42,0,2,9191,1428,0.0014060271493095099,0,9191,10619,10363
390,m,23,18,8,12108,637,0.7131321973465659,0,12108,12745,12449
391,f,29,16,5,9529,1584,0.3307471620240532,0,9529,11113,9529
392,m,35,14,2,8953,1888,0.07964804234337323,0,8953,10841,7849
393,m,37,9,5,11385,1746,0.09938889901467289,1,11385,13131,13326
394,m,35,15,3,10430,1976,0.1601940964351582,0,10430,12406,11111
395,f,21,1,5,11808,494,0.704852361112426,1,11808,12302,12737
